bikeid,fdpre,fname,ftype,length_m,facility2008,facility2009,facility2010,facility2011,facility2012,facility2013
111658,NE,SAN RAFAEL,ST,46.1902793323822,,,,,,
706847,,,,23.5661006632212,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
139809,SW,CLAY,ST,86.9654144016038,,,,,,
111655,NE,SAN RAFAEL,ST,93.6662177606439,,,,,,
111645,NE,SAN RAFAEL,ST,41.5499926616391,,,,,,
111786,NE,15TH,AVE,80.0102212911488,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
738533,,,,24.3741233637077,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
901701297,,,,16.8769513487698,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
901703605,,,,27.3689340077235,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
102635,NW,LEIF ERIKSON,DR,259.263642409735,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
700073,,,,19.1908028124669,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
700716,,,,385.09367416551,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
111630,NE,BROADWAY,,79.4510825697116,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
111965,NE,125TH,AVE,203.893935745953,,,,,,
700935,,,,9.60384616251363,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
136089,NE,64TH,AVE,134.095639682363,,,,,,
111627,NE,HANCOCK,ST,73.1429500521566,,,,,,
111817,NE,122ND,AVE,99.5477989048431,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
197807,NE,SAN RAFAEL,ST,217.961020328389,,,,,,
111761,NE,9TH,AVE,80.013234422428,,,,,,
151966,NW,17TH,AVE,12.6934819242835,,,,,,
111714,NE,156TH,CT,24.8565189006858,,,,,,
111728,NE,SUMMERPLACE,DR,68.9721296892423,,,,,,
112273,NE,118TH,AVE,407.026854183613,,,,,,
111601,NE,SAN RAFAEL,ST,98.1159056957307,,,,,,
136079,NE,62ND,AVE,134.115268363655,,,,,,
111609,NE,HANCOCK,ST,74.6408949149873,,,,,,
111950,NE,114TH,AVE,204.089119664102,,,,,,
111591,NE,SAN RAFAEL,ST,70.2786537773099,,,,,,
111722,NE,159TH,AVE,53.5771665725865,,,,,,
704958,,,,348.64676965986,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
902702397,,,,140.112336940609,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
135915,NE,3RD,AVE,82.2960840438655,,,,,,
135763,NE,BROADWAY,,79.2512991570707,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
135928,NE,36TH,AVE,68.8116644163024,,,,,,
218129,NW,FLEISCHNER,ST,10.2736379107937,,,,,,
703779,,,,105.912583586128,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
902701467,,,,6.41833346711913,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
218128,NW,FLEISCHNER,ST,10.6711264177569,,,,,,
111699,NW,ASPEN,AVE,76.2455027235451,,,,,,
708532,,,,30.0251272193716,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
135867,NE,27TH,AVE,68.9609018329798,,,,,,
135746,NE,SCHUYLER,ST,38.7094445638877,,,,,,
111612,NE,SANDY,BLVD,41.543714131324,,,,,,
135947,NE,42ND,AVE,109.279893690113,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
135825,NW,18TH,AVE,64.8035983653706,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
718223,,,,9.93548132979201,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
718253,,,,49.8486597568423,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
711951,,,,17.3356801262241,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
713067,,,,78.6856898637215,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
150404,NW,BLUE POINTE,LN,96.7299094027522,,,,,,
718652,,,,138.721839880782,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
111724,NE,22ND,AVE,79.0036933714493,,,,,,
111555,NE,SCHUYLER,ST,143.12951781966,,,,,,
111708,NE,25TH,AVE,68.9625051383278,,,,,,
111598,NE,62ND,AVE,43.0205516738106,,,,,,
729809,,,,97.6423328128069,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
729813,,,,90.3559687804573,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
901718568,,,,9.07658677064396,,,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
901718018,,,,11.3606414087864,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
901718244,,,,12.1937762235148,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
901718916,,,,184.416397113075,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
111535,NE,HANCOCK,ST,79.2280759322449,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD
111575,NE,111TH,AVE,37.5454957356968,,,,,,
111508,NE,TILLAMOOK,ST,46.8234230969178,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD,BKE-BLVD
901719030,,,,9.40661004999317,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
901719033,,,,16.435808879045,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
901719468,,,,488.762293253719,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
901729810,,,,130.345071573632,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
902704712,,,,8.97156291932989,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
902704818,,,,359.311067622762,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
902705272,,,,19.5167094303699,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
135704,NE,HANCOCK,CT,112.362643394279,,,,,,
150402,NW,HAWKINS,BLVD,45.9222563519625,,,,,,
111800,NE,56TH,AVE,153.924321514853,,,,,,
904704883,,,,620.205000138089,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
904717026,,,,27.633664011297,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
904719278,,,,24.4021018317518,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
904729810,,,,92.8271231270725,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
904730194,,,,33.9135052098873,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
905717026,,,,22.1272337431647,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
190222,NW,SAVIER,ST,12.1825074830034,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
190217,NW,SAVIER,ST,14.5952634446202,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
185676,NW,SAVIER,ST,15.9219518645829,,,,,,
185675,NW,SAVIER,ST,63.3747327231369,,,,,,
111511,NW,SAVIER,ST,81.6877945963453,,,,,,
704971,,,,86.294498397045,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
902704883,,,,8.90575480080795,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
700071,,,,14.8189361188735,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
199004,NW,SKYLINE,BLVD,12.077606187189,,,,,,
111604,NE,9TH,AVE,79.2482289367823,,,,,,
184165,NW,LEIF ERIKSON,DR,146.107992744446,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
103687,NW,LEIF ERIKSON,DR,92.957248712984,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
184645,NE,AIRPORT,WAY,160.933456428249,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
902703605,,,,23.5654077095485,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
902703874,,,,19.8398750124162,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
184187,NW,LEIF ERIKSON,DR,1544.87778096827,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
702066,,,,35.7448681468812,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
706289,,,,5.00127847622909,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
712265,,,,107.00637878203,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
713907,,,,37.3313738586171,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
716821,,,,33.9564122579917,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
105560,NW,LEIF ERIKSON,DR,1043.65078251533,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
901719278,,,,71.711659566096,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
707356,,,,206.525025434568,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
711642,,,,127.835671893921,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
701558,,,,88.8798207110904,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
712650,,,,61.4033955031935,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
716825,,,,10.6578687619868,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
718520,,,,15.3311728244456,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
903701027,,,,39.9176694189424,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
183305,N,INTERSTATE,AVE,13.7931389308967,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
193585,NW,SPRINGVILLE,RD,196.244034175241,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
709137,,,,23.538400152898,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
741737,,,,19.9130021073291,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU,PTH-REMU
